step,PNA,PRD,ABS,PRI,PAN,
0.0529,115,1770,133,1953,1319,
0.053,116,1771,134,1958,1321,
0.0531,116,1773,134,1963,1324,
0.0532,116,1778,134,1967,1325,
0.0533,117,1781,134,1970,1328,
0.0534,118,1786,134,1972,1330,
0.0535,118,1791,134,1975,1332,
0.0536,118,1793,134,1981,1334,
0.0537,118,1795,134,1985,1338,
0.0538,118,1796,134,1990,1342,
0.0539,118,1801,134,1993,1344,
0.054,118,1804,134,1999,1345,
0.0541,118,1807,134,2005,1346,
0.0542,118,1811,136,2007,1348,
0.0543,118,1815,136,2012,1349,
0.0544,118,1818,136,2018,1350,
0.0545,118,1822,136,2023,1351,
0.0546,118,1827,136,2026,1353,
0.0547,118,1829,137,2032,1354,
0.0548,118,1830,137,2036,1359,
0.0549,118,1833,137,2040,1362,
0.055,118,1834,137,2046,1365,
0.0551,118,1836,138,2050,1368,
0.0552,118,1839,138,2053,1372,
0.0553,119,1841,138,2058,1374,
0.0554,119,1844,138,2063,1376,
0.0555,120,1848,138,2066,1378,
0.0556,120,1849,138,2073,1380,
0.0557,120,1855,138,2076,1381,
0.0558,121,1858,138,2079,1384,
0.0559,121,1860,139,2081,1389,
0.056,121,1863,140,2084,1392,
0.0561,121,1865,141,2086,1397,
0.0562,121,1868,141,2090,1400,
0.0563,121,1870,141,2094,1404,
0.0564,121,1872,141,2100,1406,
0.0565,121,1875,141,2107,1406,
0.0566,121,1877,141,2111,1410,
0.0567,122,1879,141,2115,1413,
0.0568,123,1882,141,2119,1415,
0.0569,123,1884,141,2124,1418,
0.057,123,1886,142,2126,1423,
0.0571,123,1889,142,2130,1426,
0.0572,124,1891,143,2133,1429,
0.0573,124,1898,143,2134,1431,
0.0574,124,1902,143,2135,1436,
0.0575,124,1905,143,2138,1440,
0.0576,124,1908,143,2141,1444,
0.0577,124,1910,143,2146,1447,
0.0578,124,1915,143,2147,1451,
0.0579,124,1919,143,2152,1452,
0.058,124,1920,143,2160,1453,
0.0581,124,1922,143,2162,1459,
0.0582,125,1923,143,2166,1463,
0.0583,125,1925,144,2171,1465,
0.0584,125,1930,144,2174,1467,
0.0585,125,1931,145,2179,1470,
0.0586,125,1934,145,2183,1473,
0.0587,125,1937,146,2187,1475,
0.0588,125,1941,146,2189,1479,
0.0589,125,1942,146,2194,1483,
0.059,125,1947,146,2198,1484,
0.0591,125,1953,147,2200,1485,
0.0592,125,1954,147,2207,1487,
0.0593,125,1958,147,2211,1489,
0.0594,125,1963,147,2216,1489,
0.0595,125,1965,148,2221,1491,
0.0596,125,1968,148,2227,1492,
0.0597,125,1969,148,2231,1497,
0.0598,125,1973,148,2234,1500,
0.0599,126,1976,148,2238,1502,
0.06,127,1978,149,2241,1505,
0.0601,127,1981,149,2244,1509,
0.0602,128,1984,149,2249,1510,
0.0603,129,1989,149,2252,1511,
0.0604,130,1991,149,2257,1513,
0.0605,131,1993,149,2261,1516,
0.0606,131,1997,149,2263,1520,
0.0607,131,2002,150,2264,1523,
0.0608,131,2005,150,2268,1526,
0.0609,131,2006,153,2271,1529,
0.061,131,2008,153,2275,1533,
0.0611,131,2013,153,2277,1536,
0.0612,132,2016,154,2280,1538,
0.0613,132,2021,154,2281,1542,
0.0614,132,2026,155,2284,1543,
0.0615,132,2028,156,2288,1546,
0.0616,132,2032,156,2293,1547,
0.0617,132,2038,156,2295,1549,
0.0618,132,2042,156,2298,1552,
0.0619,133,2047,157,2298,1555,
0.062,133,2051,158,2302,1556,
0.0621,134,2054,159,2305,1558,
0.0622,134,2057,159,2309,1561,
0.0623,134,2060,159,2312,1565,
0.0624,134,2061,159,2319,1567,
0.0625,134,2064,160,2324,1568,
0.0626,134,2065,161,2328,1572,
0.0627,135,2067,162,2332,1574,
0.0628,135,2070,162,2339,1574,
0.0629,135,2074,162,2342,1577,
0.063,136,2078,162,2347,1577,
0.0631,137,2078,162,2356,1577,
0.0632,137,2081,162,2362,1578,
0.0633,138,2087,163,2363,1579,
0.0634,138,2091,163,2367,1581,
0.0635,138,2096,163,2370,1583,
0.0636,138,2099,163,2374,1586,
0.0637,138,2101,164,2380,1587,
0.0638,139,2106,165,2382,1588,
0.0639,139,2109,165,2385,1592,
0.064,139,2113,165,2389,1594,
0.0641,139,2119,165,2393,1594,
0.0642,139,2122,166,2394,1599,
0.0643,140,2127,166,2396,1601,
0.0644,140,2129,166,2401,1604,
0.0645,140,2133,166,2405,1606,
0.0646,140,2135,167,2407,1611,
0.0647,141,2136,167,2411,1615,
0.0648,141,2143,167,2413,1616,
0.0649,142,2146,167,2416,1619,
0.065,142,2152,167,2420,1619,
0.0651,142,2156,167,2422,1623,
0.0652,143,2156,167,2429,1625,
0.0653,143,2162,167,2432,1626,
0.0654,143,2164,167,2439,1627,
0.0655,143,2167,168,2443,1629,
0.0656,143,2171,168,2445,1633,
0.0657,143,2174,168,2450,1635,
0.0658,143,2179,168,2452,1638,
0.0659,143,2182,169,2457,1639,
0.066,143,2182,169,2461,1645,
0.0661,143,2183,170,2465,1649,
0.0662,143,2186,170,2466,1655,
0.0663,143,2190,170,2469,1658,
0.0664,143,2194,170,2472,1661,
0.0665,143,2197,170,2478,1662,
0.0666,143,2199,170,2485,1663,
0.0667,143,2199,170,2490,1668,
0.0668,143,2202,170,2494,1671,
0.0669,143,2207,170,2496,1674,
0.067,143,2208,170,2501,1678,
0.0671,143,2211,171,2504,1681,
0.0672,143,2215,171,2506,1685,
0.0673,143,2217,171,2510,1689,
0.0674,144,2219,171,2516,1690,
0.0675,145,2223,172,2516,1694,
0.0676,145,2228,173,2518,1696,
0.0677,145,2231,173,2522,1699,
0.0678,145,2235,174,2526,1700,
0.0679,145,2239,176,2530,1700,
0.068,145,2244,176,2533,1702,
0.0681,145,2249,177,2535,1704,
0.0682,146,2252,177,2541,1704,
0.0683,146,2258,177,2543,1706,
0.0684,146,2261,177,2547,1709,
0.0685,147,2265,177,2551,1710,
0.0686,148,2267,178,2553,1714,
0.0687,148,2271,179,2555,1717,
0.0688,149,2275,179,2558,1719,
0.0689,149,2279,179,2564,1719,
0.069,149,2282,179,2568,1722,
0.0691,149,2285,179,2572,1725,
0.0692,149,2286,179,2576,1730,
0.0693,149,2288,179,2583,1731,
0.0694,149,2291,179,2588,1733,
0.0695,149,2293,179,2593,1736,
0.0696,149,2297,181,2595,1738,
0.0697,149,2301,182,2598,1740,
0.0698,149,2305,182,2603,1741,
0.0699,149,2310,182,2606,1743,
0.07,149,2313,182,2609,1747,
0.0701,149,2314,183,2612,1752,
0.0702,149,2318,183,2614,1756,
0.0703,149,2320,183,2620,1758,
0.0704,149,2322,183,2624,1762,
0.0705,149,2323,183,2628,1767,
0.0706,149,2327,183,2634,1767,
0.0707,149,2335,183,2635,1768,
0.0708,150,2337,183,2641,1769,
0.0709,150,2343,183,2644,1770,
0.071,151,2346,184,2648,1771,
0.0711,151,2349,184,2650,1776,
0.0712,151,2354,184,2654,1777,
0.0713,151,2359,185,2656,1779,
0.0714,152,2364,185,2659,1780,
0.0715,152,2368,185,2661,1784,
0.0716,152,2371,185,2667,1785,
0.0717,152,2374,185,2671,1788,
0.0718,152,2376,185,2675,1792,
0.0719,152,2377,186,2677,1798,
0.072,152,2381,187,2681,1799,
0.0721,152,2387,188,2683,1800,
0.0722,152,2389,189,2689,1801,
0.0723,152,2393,189,2691,1805,
0.0724,153,2394,190,2696,1807,
0.0725,153,2399,190,2698,1810,
0.0726,153,2400,190,2703,1814,
0.0727,153,2403,191,2706,1817,
0.0728,154,2404,191,2710,1821,
0.0729,154,2406,191,2715,1824,
0.073,154,2411,193,2717,1825,
0.0731,154,2416,193,2720,1827,
0.0732,155,2416,194,2726,1829,
0.0733,156,2422,194,2728,1830,
0.0734,156,2424,195,2732,1833,
0.0735,156,2428,195,2736,1835,
0.0736,156,2430,195,2740,1839,
0.0737,156,2432,196,2746,1840,
0.0738,156,2433,197,2750,1844,
0.0739,156,2438,197,2753,1846,
